Week,Day,Date,Type,Link text,URL
1,3,9-Jun,Slides,"File I/O, assert, math functions",slides/day06_fileio_assertion_math.pdf
1,3,9-Jun,Slides,"Writing functions, command line arguments",slides/day06_functions_command_line_arguments.pdf
1,3,9-Jun,Recap,Day 6,questions/day06.html
1,3,9-Jun,Exercise,Exercise 6,exercise/ex06.html
1,3,9-Jun,LectureSlides,Day 03 Notes,slides/summer23_slides/summer23_day05-06.pdf
1,3,9-Jun,Recording,day3-lecture, https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=0d16d3b3-2707-42d0-997d-b01c01179fb8  

2,1,12-Jun,Slides,Function declarations,slides/day07_function_declaration.pdf
2,1,12-Jun,Slides,Passing arrays to functions,slides/day07_passing_arrays_to_functions.pdf
2,1,12-Jun,Slides,Recursion,slides/day07_recursion.pdf
2,1,12-Jun,Video,Function declarations,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=bbef007b-88a8-4e42-bcc4-ae230027a8f4
2,1,12-Jun,Video,Passing arrays to functions,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=c18158bd-cf31-48c4-a2c0-ae230027a87e
2,1,12-Jun,Video,Recursion,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=12215376-94e9-48dd-8d5a-ae230027937e
2,1,12-Jun,Recap,Day 7,questions/day07.html
2,1,12-Jun,Exercise,Exercise 7,exercise/ex07.html
2,1,12-Jun,Slides,Separate compilation,slides/day08_separate_compilation.pdf
2,1,12-Jun,Slides,Makefiles,slides/day08_makefiles.pdf
2,1,12-Jun,Slides,Header guards,slides/day08_header_guards.pdf
2,1,12-Jun,Video,Separate compilation,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=76660996-f221-4bda-85bf-ae230027aa0b
2,1,12-Jun,Video,Makefiles,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=956ae811-74a5-48f2-8d73-ae230027a9b0
2,1,12-Jun,Video,Header guards,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=76a9e1f6-07f3-483c-9341-ae230027a948
2,1,12-Jun,Recap,Day 8,questions/day08.html
2,1,12-Jun,Exercise,Exercise 8,exercise/ex08.html
2,1,12-Jun,LectureSlides,Day 04 Notes,slides/summer23_slides/summer23_day07-08.pdf
2,1,12-Jun,Recording,day4-lecture,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=98aec2cb-74e1-4549-bd84-b01f01189c3b

2,2,14-Jun,Slides,"Multidimensional arrays, gdb",slides/day09_multidimensional_arrays_gdb.pdf
2,2,14-Jun,Video,"Multidimensional arrays, gdb",https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=67aec427-5035-40bb-a34f-ae230027a824
2,2,14-Jun,Recap,Day 9,questions/day09.html
2,2,14-Jun,Exercise,Exercise 9,exercise/ex09.html
2,2,14-Jun,Resource,GDB Cheat Sheet,https://darkdust.net/files/GDB%20Cheat%20Sheet.pdf
2,2,14-Jun,Video,Pointers,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=7dd96f56-4676-4f7c-913d-ae230027a7a3
2,2,14-Jun,Slides,Pointers,slides/day10_pointers.pdf
2,2,14-Jun,Recap,Day 10,questions/day10.html
2,2,14-Jun,Exercise,Exercise 10,exercise/ex10.html
2,2,14-Jun,Resource,Binky the Pointer (Video),https://www.youtube.com/watch?v=5VnDaHBi8dM
2,2,14-Jun,LectureSlides,Day 05 Notes,slides/summer23_slides/summer23_day09-10.pdf
2,2,14-Jun,Recording,day5-lecture,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=bb3317fc-15da-46fa-90bc-b0210116a741

2,3,16-Jun,Video,Dynamic Memory Allocation,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=88e3945a-f1f2-4442-825e-ae230027a746
2,3,16-Jun,Video,Valgrind,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=f4c78306-67c7-4184-955f-ae230027a6b2
2,3,16-Jun,Slides,Dynamic Memory Allocation,slides/day11_dynamic_memory_allocation.pdf
2,3,16-Jun,Slides,Valgrind,slides/day11_valgrind.pdf
2,3,16-Jun,Recap,Day 11,questions/day11.html
2,3,16-Jun,Exercise,Exercise 11,exercise/ex11.html
2,3,16-Jun,Video,Pointer Arithmetic,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=d83163b7-7827-4bca-a6ca-ae2300279303
2,3,16-Jun,Video,"Dynamic 2-D Arrays, Pointers and Const",https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=5b124364-dcca-4e9b-b276-ae23002792a9
2,3,16-Jun,Slides,Pointer Arithmetic,slides/day12_pointer_arithmetic.pdf
2,3,16-Jun,Slides,"Dynamic 2-D Arrays, Pointers and Const",slides/day12_more_pointers_dynamic_2d_arrays.pdf
2,3,16-Jun,Recap,Day 12,questions/day12.html
2,3,16-Jun,Exercise,Exercise 12,exercise/ex12.html
2,3,16-Jun,LectureSlides,Day 06 Notes,slides/summer23_slides/summer23_day11-12_session06.pdf
2,3,16-Jun,Recording,day6-lecture,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=6ab31fdf-66dc-45ec-aca5-b0230115d1cd

3,1,19-Jun,Exercise,No class (Juneteenth),#
3,2,21-Jun,Video,Lifetime/Scope,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=6fa78f1f-431c-40ea-95e2-ae230027a663
3,2,21-Jun,Video,Structs,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=81f128ab-96f2-433e-b770-ae230027a5f4
3,2,21-Jun,Video,Random number generation,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=e02cd998-bfde-4c4a-977a-ae23002791e7
3,2,21-Jun,Slides,Lifetime/Scope,slides/day13_lifetime_scope.pdf
3,2,21-Jun,Slides,Structs,slides/day13_struct_type.pdf
3,2,21-Jun,Slides,Random number generation,slides/day13_random_numbers.pdf
3,2,21-Jun,Recap,Day 13,questions/day13.html
3,2,21-Jun,Exercise,Exercise 13,exercise/ex13.html
3,2,21-Jun,Video,Binary file I/O,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=9a428f88-2a13-420b-b008-ae230027a35f
3,2,21-Jun,Video,Bitwise operations,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=373770ad-6472-4b72-b789-ae230027a246
3,2,21-Jun,Slides,Binary file I/O,slides/day14_binary_file_io.pdf
3,2,21-Jun,Slides,Bitwise operations,slides/day14_bitwise_operations.pdf
3,2,21-Jun,Recap,Day 14,questions/day14.html
3,2,21-Jun,Exercise,Exercise 14,exercise/ex14.html
3,2,21-Jun,LectureSlides,Day 07 Notes,slides/summer23_slides/summer23_day13-14_session07.pdf
3,2,21-Jun,Recording,day7-lecture,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=d5ea5b1d-f9d7-4e2d-8ba4-b0280115cb81

3,3,23-Jun,Video,"Number representation,<br>type conversion/casting",https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=9ce56b92-a382-468f-8c9e-ae230027a1af
3,3,23-Jun,Slides,"Number representation,<br>type conversion/casting",slides/day15_number_rep_type_conversions.pdf
3,3,23-Jun,Recap,Day 15,questions/day15.html
3,3,23-Jun,Exercise,Exercise 15,exercise/ex15.html
3,3,23-Jun,Slides,"Midterm project overview", slides/summer23_slides/summer23_midterm_project_overview.pdf
3,3,23-Jun,LectureSlides,Day 08 Notes,slides/summer23_slides/summer23_day15-16_session08.pdf
3,3,23-Jun,Recording,day8-lecture,https://jh.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=54c4b85c-9401-4af2-94f3-b02a01125744 

